event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e29,Control,enter_room,26:01:01T08:02:13.56,26:01:01T08:02:15.63,r1,,,
e35,Control,clean_path,26:01:01T08:02:14.06,26:01:01T08:02:21.20,r7,,,
e30,Control,position,26:01:01T08:02:15.63,26:01:01T08:02:17.41,r1,,,
e31,Task,inspect,26:01:01T08:02:17.41,26:01:01T08:02:24.52,r1,m3,m3_s1,t19
e36,Task,vacuum,26:01:01T08:02:21.20,26:01:01T08:02:50.25,r7,m3,m3_s2,t23
e42,Control,enter_room,26:01:01T08:02:24.04,26:01:01T08:02:26.17,r3,,,
e46,Control,navigate,26:01:01T08:02:24.52,26:01:01T08:02:26.39,r1,,,
e43,Control,localize,26:01:01T08:02:26.17,26:01:01T08:02:27.94,r3,,,
e47,Control,enter_room,26:01:01T08:02:26.39,26:01:01T08:02:28.44,r1,,,
e44,Control,clean_path,26:01:01T08:02:27.94,26:01:01T08:02:34.77,r3,,,
e48,Control,position,26:01:01T08:02:28.44,26:01:01T08:02:30.42,r1,,,
e49,Task,inspect,26:01:01T08:02:30.42,26:01:01T08:02:39.33,r1,m4,m4_s2,t31
e212,Control,position,26:01:01T08:02:31.01,26:01:01T08:02:33.32,r8,,,
e213,Task,empty_bin,26:01:01T08:02:33.32,26:01:01T08:02:44.93,r8,m2,m2_s1,t12
e45,Task,vacuum,26:01:01T08:02:34.77,26:01:01T08:03:04.12,r3,m4,m4_s1,t29
e55,Control,navigate,26:01:01T08:02:39.33,26:01:01T08:03:26.22,r1,,,
e50,Control,navigate,26:01:01T08:02:50.25,26:01:01T08:03:03.20,r7,,,
e278,Control,navigate,26:01:01T08:02:50.25,26:01:01T08:03:48.11,r4,,,
e51,Control,enter_room,26:01:01T08:03:03.20,26:01:01T08:03:05.44,r7,,,
e59,Control,navigate,26:01:01T08:03:04.12,26:01:01T08:03:28.34,r3,,,
e294,Control,navigate,26:01:01T08:03:04.12,26:01:01T08:03:35.99,r8,,,
e52,Control,localize,26:01:01T08:03:05.44,26:01:01T08:03:07.20,r7,,,
e53,Control,clean_path,26:01:01T08:03:07.20,26:01:01T08:03:13.91,r7,,,
e54,Task,vacuum,26:01:01T08:03:13.91,26:01:01T08:03:38.22,r7,m4,m4_s3,t35
e38,Control,enter_room,26:01:01T08:03:17.92,26:01:01T08:03:20.21,r5,,,
e39,Control,position,26:01:01T08:03:20.21,26:01:01T08:03:21.87,r5,,,
e40,Task,inspect,26:01:01T08:03:21.87,26:01:01T08:03:29.03,r5,m3,m3_s3,t25
e56,Control,enter_room,26:01:01T08:03:26.22,26:01:01T08:03:28.16,r1,,,
e57,Control,position,26:01:01T08:03:28.16,26:01:01T08:03:30.14,r1,,,
e60,Control,enter_room,26:01:01T08:03:28.34,26:01:01T08:03:30.48,r3,,,
e64,Control,navigate,26:01:01T08:03:29.03,26:01:01T08:04:38.61,r5,,,
e58,Task,inspect,26:01:01T08:03:30.14,26:01:01T08:03:38.87,r1,m5,m5_s1,t37
e61,Control,localize,26:01:01T08:03:30.48,26:01:01T08:03:32.87,r3,,,
e62,Control,clean_path,26:01:01T08:03:32.87,26:01:01T08:03:39.58,r3,,,
e295,Control,position,26:01:01T08:03:35.99,26:01:01T08:03:38.00,r8,,,
e296,Task,empty_bin,26:01:01T08:03:38.00,26:01:01T08:03:47.54,r8,m4,m4_s1,t30
e77,Control,navigate,26:01:01T08:03:38.22,26:01:01T08:04:27.33,r7,,,
e73,Control,navigate,26:01:01T08:03:38.87,26:01:01T08:04:04.98,r1,,,
e63,Task,vacuum,26:01:01T08:03:39.58,26:01:01T08:04:03.61,r3,m5,m5_s2,t41
e279,Control,position,26:01:01T08:03:48.11,26:01:01T08:03:50.14,r4,,,
e280,Task,empty_bin,26:01:01T08:03:50.14,26:01:01T08:04:01.89,r4,m3,m3_s2,t24
e316,Control,navigate,26:01:01T08:04:01.89,26:01:01T08:04:14.84,r4,,,
e68,Control,navigate,26:01:01T08:04:03.61,26:01:01T08:04:13.80,r3,,,
e324,Control,navigate,26:01:01T08:04:03.61,26:01:01T08:04:27.83,r8,,,
e74,Control,enter_room,26:01:01T08:04:04.98,26:01:01T08:04:06.78,r1,,,
e75,Control,position,26:01:01T08:04:06.78,26:01:01T08:04:09.12,r1,,,
e76,Task,inspect,26:01:01T08:04:09.12,26:01:01T08:04:16.94,r1,m6,m6_s2,t49
e69,Control,enter_room,26:01:01T08:04:13.80,26:01:01T08:04:15.56,r3,,,
e317,Control,position,26:01:01T08:04:14.84,26:01:01T08:04:17.02,r4,,,
e70,Control,localize,26:01:01T08:04:15.56,26:01:01T08:04:17.51,r3,,,
e85,Control,navigate,26:01:01T08:04:16.94,26:01:01T08:05:11.37,r1,,,
e318,Task,empty_bin,26:01:01T08:04:17.02,26:01:01T08:04:26.22,r4,m4,m4_s3,t36
e71,Control,clean_path,26:01:01T08:04:17.51,26:01:01T08:04:25.26,r3,,,
e72,Task,vacuum,26:01:01T08:04:25.26,26:01:01T08:04:48.05,r3,m6,m6_s1,t47
e78,Control,enter_room,26:01:01T08:04:27.33,26:01:01T08:04:29.62,r7,,,
e325,Control,position,26:01:01T08:04:27.83,26:01:01T08:04:29.54,r8,,,
e326,Task,empty_bin,26:01:01T08:04:29.54,26:01:01T08:04:39.22,r8,m5,m5_s2,t42
e79,Control,localize,26:01:01T08:04:29.62,26:01:01T08:04:31.66,r7,,,
e80,Control,clean_path,26:01:01T08:04:31.66,26:01:01T08:04:38.22,r7,,,
e81,Task,vacuum,26:01:01T08:04:38.22,26:01:01T08:05:08.22,r7,m6,m6_s3,t53
e65,Control,enter_room,26:01:01T08:04:38.61,26:01:01T08:04:40.48,r5,,,
e66,Control,position,26:01:01T08:04:40.48,26:01:01T08:04:42.77,r5,,,
e67,Task,inspect,26:01:01T08:04:42.77,26:01:01T08:04:49.96,r5,m5,m5_s3,t43
e332,Control,navigate,26:01:01T08:04:48.05,26:01:01T08:04:58.24,r8,,,
e89,Control,navigate,26:01:01T08:04:48.05,26:01:01T08:05:39.21,r3,,,
e94,Control,navigate,26:01:01T08:04:49.96,26:01:01T08:05:30.34,r5,,,
e333,Control,position,26:01:01T08:04:58.24,26:01:01T08:05:00.08,r8,,,
e334,Task,empty_bin,26:01:01T08:05:00.08,26:01:01T08:05:10.28,r8,m6,m6_s1,t48
e98,Control,navigate,26:01:01T08:05:08.22,26:01:01T08:05:40.87,r7,,,
e340,Control,navigate,26:01:01T08:05:10.28,26:01:01T08:05:32.50,r8,,,
