event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
213,Control,undock,2026-08-27T19:24:49.595808,2026-08-27T19:24:53.599182,robot5,m3,m3_s9
214,Control,move_to,2026-08-27T19:24:53.599877,2026-08-27T19:25:39.210270,robot5,m3,m3_s9
215,Task,check_room,2026-08-27T19:25:39.211185,2026-08-27T19:25:45.217797,robot5,m3,m3_s9
216,Control,move_to,2026-08-27T19:25:45.495638,2026-08-27T19:26:05.603152,robot5,m3,m3_s15
217,Task,check_room,2026-08-27T19:26:05.605352,2026-08-27T19:26:13.111365,robot5,m3,m3_s15
218,Control,move_to,2026-08-27T19:26:36.520282,2026-08-27T19:26:56.626931,robot5,m3,m3_s5
219,Task,mop,2026-08-27T19:26:56.629386,2026-08-27T19:27:24.140604,robot5,m3,m3_s5
220,Control,move_to,2026-08-27T19:27:24.502852,2026-08-27T19:27:50.122926,robot5,m3,m3_s1
221,Task,disinfect,2026-08-27T19:27:50.125746,2026-08-27T19:28:02.150115,robot5,m3,m3_s1
222,Control,undock,2026-08-27T19:24:49.506150,2026-08-27T19:24:53.511214,robot6,m3,m3_s1
223,Control,move_to,2026-08-27T19:24:53.512108,2026-08-27T19:25:02.462505,robot6,m3,m3_s1
224,Task,check_room,2026-08-27T19:25:02.464619,2026-08-27T19:25:11.469868,robot6,m3,m3_s1
225,Control,move_to,2026-08-27T19:25:11.546596,2026-08-27T19:25:45.786286,robot6,m3,m3_s10
226,Task,check_room,2026-08-27T19:25:45.788380,2026-08-27T19:25:53.294627,robot6,m3,m3_s10
227,Control,move_to,2026-08-27T19:25:53.504674,2026-08-27T19:26:32.344663,robot6,m3,m3_s2
228,Task,mop,2026-08-27T19:26:32.348099,2026-08-27T19:26:48.857234,robot6,m3,m3_s2
229,Control,move_to,2026-08-27T19:26:49.503536,2026-08-27T19:26:58.452677,robot6,m3,m3_s6
230,Task,mop,2026-08-27T19:26:58.454758,2026-08-27T19:27:31.463343,robot6,m3,m3_s6
231,Control,move_to,2026-08-27T19:27:37.505541,2026-08-27T19:28:07.510547,robot6,m3,m3_s10
