task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t118,harvest,m13,m13_s1,segment,r1,random,2026-01-01T08:31:18.08,e552,2026-01-01T08:50:38.31,2026-01-01T08:51:01.34
t160,spray,m17,m17_s3,segment,r6,random,2026-01-01T08:32:01.33,e556,2026-01-01T08:37:03.56,2026-01-01T08:37:20.34
t103,spray,m11,m11_s3,segment,r3,random,2026-01-01T08:32:40.12,e560,2026-01-01T08:56:43.44,2026-01-01T08:56:59.93
t91,spray,m10,m10_s2,segment,r6,random,2026-01-01T08:32:41.76,e564,2026-01-01T08:39:56.87,2026-01-01T08:40:11.35
t82,harvest,m9,m9_s2,segment,r5,random,2026-01-01T08:33:36.13,e569,2026-01-01T09:15:42.71,2026-01-01T09:16:09.88
t16,harvest,m2,m2_s2,segment,r5,random,2026-01-01T08:33:49.19,e574,2026-01-01T09:17:48.26,2026-01-01T09:18:10.73
t149,harvest,m16,m16_s2,segment,r1,random,2026-01-01T08:34:15.31,e579,2026-01-01T08:53:40.47,2026-01-01T08:54:05.50
t146,harvest,m16,m16_s1,segment,r5,random,2026-01-01T08:34:16.18,e584,2026-01-01T09:21:35.97,2026-01-01T09:21:56.49
t53,spray,m6,m6_s2,segment,r6,random,2026-01-01T08:34:56.18,e588,2026-01-01T08:40:51.31,2026-01-01T08:41:07.31
t73,harvest,m8,m8_s2,segment,r5,random,2026-01-01T08:35:25.34,e593,2026-01-01T09:24:14.09,2026-01-01T09:24:35.42
t129,spray,m14,m14_s2,segment,r2,random,2026-01-01T08:35:37.76,e597,2026-01-01T08:37:24.89,2026-01-01T08:37:40.94
t174,spray,m19,m19_s1,segment,r7,random,2026-01-01T08:35:46.43,e601,2026-01-01T08:43:02.76,2026-01-01T08:43:17.45
t186,spray,m20,m20_s2,segment,r6,random,2026-01-01T08:36:14.63,e605,2026-01-01T08:42:04.67,2026-01-01T08:42:24.23
t132,harvest,m14,m14_s3,segment,r1,random,2026-01-01T08:36:47.41,e610,2026-01-01T08:55:27.23,2026-01-01T08:55:48.09
t161,harvest,m17,m17_s3,segment,r5,random,2026-01-01T08:37:20.34,e615,2026-01-01T09:27:37.58,2026-01-01T09:28:01.22
t130,harvest,m14,m14_s2,segment,r8,random,2026-01-01T08:37:40.94,e620,2026-01-01T08:38:07.80,2026-01-01T08:38:29.11
t35,harvest,m4,m4_s2,segment,r8,random,2026-01-01T08:38:01.54,e625,2026-01-01T08:39:30.46,2026-01-01T08:39:54.83
t155,spray,m17,m17_s1,segment,r2,random,2026-01-01T08:38:09.03,e629,2026-01-01T08:40:30.97,2026-01-01T08:40:46.65
t99,harvest,m11,m11_s1,segment,r8,random,2026-01-01T08:38:59.18,e634,2026-01-01T08:40:34.19,2026-01-01T08:41:02.80
t158,harvest,m17,m17_s2,segment,r4,random,2026-01-01T08:39:27.87,e639,2026-01-01T08:42:15.15,2026-01-01T08:42:41.10
t113,harvest,m12,m12_s3,segment,r8,random,2026-01-01T08:39:57.17,e644,2026-01-01T08:42:56.24,2026-01-01T08:43:24.92
