objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
segment,m2_s1,m2_s3,m2,2026-01-01T08:04:28.13,2026-01-01T08:06:10.98
segment,m2_s2,m2_s3,m2,2026-01-01T08:04:22.45,2026-01-01T08:06:10.98
segment,m3_s1,m3_s2,m3,2026-01-01T08:09:30.69,2026-01-01T08:16:29.76
segment,m3_s1,m3_s3,m3,2026-01-01T08:08:14.51,2026-01-01T08:19:39.47
segment,m3_s2,m3_s3,m3,2026-01-01T08:09:30.69,2026-01-01T08:16:29.76
segment,m4_s1,m4_s2,m4,2026-01-01T08:07:33.45,2026-01-01T08:09:07.59
segment,m4_s1,m4_s3,m4,2026-01-01T08:06:31.86,2026-01-01T08:09:07.59
segment,m4_s2,m4_s3,m4,2026-01-01T08:07:33.45,2026-01-01T08:11:27.38
segment,m5_s1,m5_s2,m5,2026-01-01T08:05:49.16,2026-01-01T08:07:58.54
segment,m5_s1,m5_s3,m5,2026-01-01T08:05:49.16,2026-01-01T08:14:52.59
segment,m5_s2,m5_s3,m5,2026-01-01T08:05:33.01,2026-01-01T08:07:58.54
segment,m6_s1,m6_s2,m6,2026-01-01T08:13:36.20,2026-01-01T08:26:38.80
segment,m6_s1,m6_s3,m6,2026-01-01T08:13:36.20,2026-01-01T08:21:24.11
segment,m6_s2,m6_s3,m6,2026-01-01T08:12:23.58,2026-01-01T08:21:24.11
segment,m7_s1,m7_s2,m7,2026-01-01T08:10:01.55,2026-01-01T08:12:54.96
segment,m7_s1,m7_s3,m7,2026-01-01T08:10:06.49,2026-01-01T08:23:44.21
segment,m7_s2,m7_s3,m7,2026-01-01T08:10:06.49,2026-01-01T08:12:54.96
segment,m8_s1,m8_s2,m8,2026-01-01T08:13:36.99,2026-01-01T08:26:54.78
segment,m8_s1,m8_s3,m8,2026-01-01T08:13:36.99,2026-01-01T08:22:12.36
segment,m8_s2,m8_s3,m8,2026-01-01T08:12:06.33,2026-01-01T08:22:12.36
segment,m9_s1,m9_s2,m9,2026-01-01T08:15:27.29,2026-01-01T08:29:29.03
segment,m9_s1,m9_s3,m9,2026-01-01T08:15:27.29,2026-01-01T08:31:45.45
segment,m9_s2,m9_s3,m9,2026-01-01T08:14:54.17,2026-01-01T08:29:29.03
