pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,segment,m17_s1,e705,e756,r6,r4,,,,,,,,,,,,,,
handover,segment,m17_s2,e398,e677,r7,r4,,,,,,,,,,,,,,
handover,segment,m17_s3,e402,e672,r1,r2,,,,,,,,,,,,,,
handover,segment,m17_s3,e672,e747,r2,r1,,,,,,,,,,,,,,
handover,segment,m18_s1,e410,e719,r3,r8,,,,,,,,,,,,,,
handover,segment,m18_s2,e414,e709,r1,r2,,,,,,,,,,,,,,
handover,segment,m18_s2,e709,e780,r2,r8,,,,,,,,,,,,,,
handover,segment,m18_s3,e418,e701,r7,r1,,,,,,,,,,,,,,
handover,segment,m19_s1,e444,e751,r5,r6,,,,,,,,,,,,,,
handover,segment,m19_s1,e751,e789,r6,r4,,,,,,,,,,,,,,
handover,segment,m19_s2,e448,e738,r1,r8,,,,,,,,,,,,,,
handover,segment,m19_s3,e452,e742,r3,r2,,,,,,,,,,,,,,
handover,segment,m19_s3,e742,e794,r2,r1,,,,,,,,,,,,,,
handover,segment,m1_s1,e157,e186,r2,r8,,,,,,,,,,,,,,
handover,segment,m1_s1,e24,e157,r7,r2,,,,,,,,,,,,,,
handover,segment,m1_s2,e28,e149,r3,r8,,,,,,,,,,,,,,
handover,segment,m1_s3,e169,e277,r2,r8,,,,,,,,,,,,,,
handover,segment,m1_s3,e32,e169,r1,r2,,,,,,,,,,,,,,
handover,segment,m20_s1,e432,e724,r5,r4,,,,,,,,,,,,,,
handover,segment,m20_s2,e436,e728,r7,r6,,,,,,,,,,,,,,
handover,segment,m20_s2,e728,e775,r6,r4,,,,,,,,,,,,,,
handover,segment,m20_s3,e440,e733,r3,r1,,,,,,,,,,,,,,
handover,segment,m2_s1,e44,e196,r7,r8,,,,,,,,,,,,,,
handover,segment,m2_s2,e161,e262,r6,r8,,,,,,,,,,,,,,
handover,segment,m2_s2,e48,e161,r5,r6,,,,,,,,,,,,,,
handover,segment,m2_s3,e52,e191,r3,r4,,,,,,,,,,,,,,
handover,segment,m3_s1,e108,e313,r3,r6,,,,,,,,,,,,,,
handover,segment,m3_s1,e313,e428,r6,r8,,,,,,,,,,,,,,
handover,segment,m3_s2,e112,e345,r7,r4,,,,,,,,,,,,,,
handover,segment,m3_s3,e116,e309,r1,r2,,,,,,,,,,,,,,
handover,segment,m3_s3,e309,e423,r2,r4,,,,,,,,,,,,,,
