task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t67,final_inspection,m7,,mission,r3,hungarian,2026-01-01T08:24:20.14,e696,2026-01-01T08:30:52.70,2026-01-01T08:30:59.52
t170,harvest,m18,m18_s3,segment,r1,hungarian,2026-01-01T08:24:20.86,e701,2026-01-01T08:39:03.90,2026-01-01T08:39:31.70
t155,spray,m17,m17_s1,segment,r6,hungarian,2026-01-01T08:24:40.17,e705,2026-01-01T08:27:42.86,2026-01-01T08:27:58.54
t167,spray,m18,m18_s2,segment,r2,hungarian,2026-01-01T08:24:52.74,e709,2026-01-01T08:29:22.35,2026-01-01T08:29:43.91
t142,harvest,m15,m15_s3,segment,r5,hungarian,2026-01-01T08:25:14.47,e714,2026-01-01T08:41:38.70,2026-01-01T08:42:06.66
t165,harvest,m18,m18_s1,segment,r8,hungarian,2026-01-01T08:25:20.34,e719,2026-01-01T08:40:18.82,2026-01-01T08:40:46.60
t184,harvest,m20,m20_s1,segment,r4,hungarian,2026-01-01T08:25:25.76,e724,2026-01-01T08:39:38.88,2026-01-01T08:40:01.70
t186,spray,m20,m20_s2,segment,r6,hungarian,2026-01-01T08:25:49.92,e728,2026-01-01T08:29:05.99,2026-01-01T08:29:25.55
t189,harvest,m20,m20_s3,segment,r1,hungarian,2026-01-01T08:26:01.19,e733,2026-01-01T08:41:02.55,2026-01-01T08:41:22.13
t177,harvest,m19,m19_s2,segment,r8,hungarian,2026-01-01T08:26:03.10,e738,2026-01-01T08:42:05.46,2026-01-01T08:42:27.00
t179,spray,m19,m19_s3,segment,r2,hungarian,2026-01-01T08:26:41.89,e742,2026-01-01T08:31:18.56,2026-01-01T08:31:39.83
t161,harvest,m17,m17_s3,segment,r1,hungarian,2026-01-01T08:27:14.20,e747,2026-01-01T08:42:39.52,2026-01-01T08:43:03.16
t174,spray,m19,m19_s1,segment,r6,hungarian,2026-01-01T08:27:35.53,e751,2026-01-01T08:31:00.27,2026-01-01T08:31:14.96
